workload,runtime,load_level,p95_ms,throughput,error_rate,dropped,evidence_class,publishable
heartbeat,python,1667,36424.261179,112.576108,0.437605,42864,canonical,true
payment-card,python,1000,38082.13291,31.317065,0.411765,0,canonical,true
