profile,load_level,python_p95_ms,go_p95_ms,python_rps,go_rps,status
D1,50,385.36223,79.450889,194.676325,1322.003135,UNSTABLE
D2,50,318.879631,92.845813,228.174839,893.81845,UNSTABLE
D2,100,1282.012382,179.479161,192.813905,825.499682,UNSTABLE
D3,100,2455.953896,512.081006,131.331442,291.736195,UNSTABLE
D3,200,4197.32963,899.458876,179.343464,334.127666,UNSTABLE
